,0
40,"
    sonuna kadar destekledigim goc.bu ulkenin insani bundan anlar cunku; ac kalmadikca, cebine para girdikce her turlu yolsuzluga gericilige goz yumarlar. ayni sekilde doktorsuz kalmadikca, hastane koselerinde, ameliyathane kapilarinda surunmedikce de doktorlarin kiymetini bilmeyecekler. kurunun yaninda yas da yaniyor ama yapacak bir sey yok, bu milletin huyu bu.kendi fikirleri cok onemliymis gibi bu basliga art arda entry girenlerin aksine, devlette okuyan kimsenin devlete borcu yoktur. ulkedeki buyuk cogunlugu annesi, babasi, ailesi dolayli olarak verdigi vergilerle, dogrudan da harclik vs. ile okutur universitede. devlet ben okuttum demek istiyorsa, vergileri kaldirip kaynak yaratmayi deneyebilir.""doktorlara bir sure calisma zorunlulugu getirilsin"" bakis acisi bile ulke insaninin neden sonuc iliskisi kurma acisindan ne kadar yetersiz oldugunu gosteriyor. doktorlarin sikayeti can guvenliklerinin olmamasi, sahip olduklari sorumluluklarla elde ettikleri maasin ortusmuyor olusu ve mesleki sartlarin kotu olusu. sunulan cozumun sorunun temel sebepleriyle baglantisi sifir. haliyle sorunu cozmek icin degil, sorunun olusturdugu etkileri hali altina supurmek icin ortaya atilan bir fikir. calistigim sirkette bir yonetici boyle bir soruna boyle bir cozum sunsa, uzun sure itin gotune sokarlar.bir de muhendislerle kiyaslanmis; ulkedeki muhendis fazlasini gectim, muhendislik zaten deger verilen bir dal degil turkiye'de. belli basli sirketler haric, cogu sirket imza yetkisi icin muhendis istihdam ediyor; ""sen imzani at, fazla kurcalama, parani al"". devletin mantigi, yandas taseronlara para aktarayim; taseronun mantigi her seyi en ucuza getireyim; kim takar muhendisini. muhendislige onem verilen bir ulkede tren facialari, maden gocukleri, deniz tarafindan yutulan otoyollar olur mu.
  "
41,"
    arkadaşlar şu konuya da dikkat edelim:gidenler zaten, dil bilen, kendini geliştirebilmiş doktorlar. şu an bir sürü sadece 7/24 ders çalışarak doktor olmuş, bir vizyonu veya misyonu olmayan, tek hedefi bmw 1 serisi almak olan tip doktor var. bunlar türkiye' de kalıyor. yani gidenler zaten iyi doktorlar. kalanlar boş beleş.
  "
42,"
    (bkz: ferhat göçer)
  "
43,"
    ""devletin imkanlarıyla başkalarının önüne geçerek okuyup sonra ben özele veya yurtdışına geçiyorum demek olmaz."" şeklinde elestirilen göç. ama benim anlamadığım, kimin önüne geçtik? yurtdışında mesela amerikada ve ingiltere'de tip okumanin daha zor olduğunu biliyoruz. o zaman amerikali ve ingiliz doktorlarin önüne geçmiş olduk. yani bu elestiride turk doktorların yabanci doktorlarin önüne gecmesi sonucunda yabanci doktorlarin mağdur olacağını ve bunun kötü olduğunu yazmışlar. paşama bak be. amerikali doktorlari bizlerden koruyor.
  "
44,"
    istediğiniz kadar zorunlu hizmet verin, isterseniz ceza verin, hapislere tıkın. şu üç dört özelliğe sahip insanları kötü şartlar içinde, ülkenizde zorla tutamazsınız.yetenekli kişiyibilgili kişiyiiyi eğitilmiş kişiyi.özellikli bir işte tecrübeli kişiyibu dört kişiyi küstürecek kadar salak, bu insanları üzecek, kızdıracak kadar avanak olmayın. zaten doğru düzgün bir firmada veya ülkede bu kişiler el üstünde tutulur, pamuklara sarılır. en ufak terslik çıkaran da afaroz edilir.çünkü iş bu kişiler ile yürür. yüzlerce, binlerce hatta milyonlarca b ehliyetli sürücü bulabilirsin. ama bir tane hematolog veya bir tane çocuk endokrinci bulman çok zordur. çünkü hepsi yani tüm ülkedeki hematologlar ve çocuk endokrinciler bir tane uçağa sığıyorlar. hepimizin tüm dangozluğuna rağmen yine de iyi dayanıyorlar. gidenler hala olması gerekenden az. ama bu dangozluğa devam edersek yakında hepsi gider. bu da doğanın en doğal kurallarından biridir. sen değerini bilmezsen değerini bilenler sıraya girer.
  "
45,"
    doktorları devlet okutuyor gidemezler ihanet ediyorlarmış lafa bak. evet kardeş dershanelere tus'una kitabına egitimine 20 yıl para doken ailesi değil girdigi sınavdan bile kar planlayan bi yurtta bi oda bile tahsis edemeyen bitirince can guvenliğini bile sağlamaktan aciz devlet okutuyor aynen.
  "
46,"
    çiftlerden birisi daha güzel, yakışıklı veya zengin bir sevgili bulup ilişkiyi bitirmek ister ama bunu itiraf etmek kolay değildir. o yüzden ayrılmak için sen beni sevmiyorsun, bana değer vermiyorsun falan gibi bahaneler üretir. hekimler de aynen böyle.
  "
47,"
    doktor göçü başlığını bile doktor pislemek icin kullanan, doktoru pranga mahkumu olarak gören ciddi bir kitle var. bunlar ile dayagi hakeden doktorlar var diyenler aynı kişiler. pembiş götlerini bir stres aldi. ya korkmayın koca götlerinize afgan suri bir sürü doktor bulunur. la insan araya yalandan çalışma kosulalları duzeltipmeli, hastanelerin alt yaoısi kuvvetlendirilmeli filan yazar da bu kadar sıritmaz en azından.tıp fakültesine girerken ölene kadar mokoko sözleşmesi imzalatılsin iş çözülür bu kafaya göre. 3 netlik beyinlere zahmet edipte neyin doğru neyin yalnis gittiğini anlatmaya da gerek yok almıyor beyinleri.edit imla.
  "
48,"
    hekimlik mental olarak yorucu bir iş de diğer meslekler ne? sizin 15 dakika hasta olarak tahammül edemediğiniz insanlarla gün boyu haşir neşir olanlar ne yapsın? her doktor da uww waaw değil. cerrahlar dışındakiler kendilerini çok önemsiyor. tahlil röntgen mr tomografi...oku yorumla, yapıştır geç. tipta da kalite düştü. iyi bir doktor bir yere bakarken başka bir yerdeki hastalığı da bulandır. sikayetlerinizi dinlerken hastanın yüzüne betine benzine bakan bile yok. hastaya ilaç verirken alerji durumu kullandığı başka bir ilaçla etkileşim olup olmaması umurlarında değil çoğunun. kamuda masabaşı düz memur olanlar hariç herkes bıraksın gitsin. hepsinin işi zor. hakimler haftanın 7 günü gece gündüz çalışıyor. onlarin cani yok mu hatta kamu olayı bitsin. her yer ozellestirilsin. vergilerimiz neden adamakıllı hizmet alamadığımız yerlere gidiyor. en son ne zaman devlet hastanesine gittiğimi bile hatırlamıyorum. bağışıklık sistemimde sorun var. dr. a kalırsa sadece cilt hastalığı. krem pomat yeterli. prof. a gidince ama kan değerleri, tüm tahliller, alerji testleri, karaciğer fonksiyon testi, mide ve bağırsak durumu, akcigerlerimin hali, kandaki iltihap düzeyine kadar hepsine bakılıyor. zamanı olan uzman da emin olun uğraşmiyor. bir antihistaminik bir pomat tamam. 1 günlük hadise değil bunlar.uzun süreli antihistaminik kullanımı, davranıs bozukluklarına, kas gevşeticiler kalp kapakçıklarinin erimesine yol açar. ve size 1 sır vereyim. doktorlar hastalarına poşet poşet ilaç yazarken birçoğu ne kendi için ne yakını için o denli ilaç kullanma taraftarı değil. ordu, yargi ve kolluk kuvvetleri dışında tüm kamu kurumları özellestirilsin. mebus maaşları da asgarî olsun. nasıl olsa herkes başının çaresine bir şekilde bakıyor. hastaya muayene ücreti getirilsin. doktorlar hasta başı minik 'de olsa ücret alırken günde 80 hastaya bakmak insanî değil demiyorlardı. muayene ücreti olunca hasta sayısı düşer ve hekimlerin becerilerini ilgilerini görürsünüz. yeryüzü doktorları dışında hiç-bir doktor özel değil kutsal değil. hiç-bir meslek kutsal değil. kariyer mesleğini seçip, çalışma şartlarını bilip üstüne 10 yıl okuyup sonra maaşım az diye ağlamak da komik yani. vallaha gülerler. zekânızdan şüphe ederler.
  "
49,"
    göçerler tabii... yemin ediyorum şu an sağlık sistemi hakettiğinden çok daha iyi; biraz detaylı düşününce şimdiye çoktan çökmüş olması gerekiyordu. bir rinoplastiye özeller 50 bin lira fiyat çekiyorken hala devlet hastanelerinde 15 bin lira aylık maaşa kbb ve plastik cerrahların çalışıyor olması mucize değil de nedir? bir de bunun yanında tehdit, kavga gürültü de cabası. halen devlette çalışan uzmanları zerre anlamıyorum.bense şu an bir pratisyenim ve lise mezunu uzman çavuştan az kazanıyorum.neticede böyle komik şartlar varken sağlık sisteminin zar zorda olsa yürümesi; bu şartlarda çalışan bizlerin fedakarlıklarındandır...
  "
50,"
    şu fındık beyinli arkadaş süper ötesi fikirlerini kendine saklasa keşke. ulan 15 sene mecburi hizmet gelse doktorlar doktorluk mu yapar? senden 100 kat akıllı adamlar amk, basar istifayı gider esnaf olur bilmem ne olur sanki dünyanın sonu mu. hala köle gibi zorla doktor çalıştırma peşinde ya haysiyetsizlere bak sen. zorla üç kuruşa çalıştırdığın adama gidip “karnım ağrıyo derdimi çöz” mu diyeceksin? ne utanmaz arlanmazsınız ya.
  "
51,"
    yolları açık olsun, gittikleri yerde huzur bulsunlar.bakın beyler, yurttaşlar, romalılar;avrupa'nın farklı ülkelerinde hastaneye birkaç kez gitme durumum oldu. insan şunu açıkça görüyor, adamların sistemi, altyapısı, cihazları iyi olabilir. ama bizim tabiplerimiz her zaman daha iyiydi.eğer devlet bu durumu göremiyor, önlem alamıyor, aksine gidersen git diyorsa elin adamı da havada kapar. biz de şehir hastanesinin alçı tavanlarına sürtünürüz artık şifa bulmak için.
  "
52,"
    gerizekalilik keske parayla olsa.20 yil sozlesme imzalanacakmis 2022'de.devlet dunyadaki denklerine benzer bir ortami olustursa zaten kimse gitmez.siz saniyorsunuz ki yurtdisinda doktor olarak denklik almak, calismak cok kolay ve ha deyince oluyor. devlet bu adama senin verginle yatirim yapiyorsa sen gidip devlete soracaksin bu yatirim neden elinde tutamiyorsun bu adamlari burada tutacak sartlar neden olusturmuyorsun diye. kurek mahkumu gibi 20 yil bana calis dersen basarilar adam neden tip secsin? ayrica tip sadece oss'de yaptigim uc bes net mi avs? fakulteyi bitirmesi, mecburi hizmeti, tus sinavi vs vs var. ben 3 net fazla yaptim hadi bizim taleplerimizi karsilayin mi diyor bu kadar insan e andaval. devlet 20 sene beni kurek mahkumu gibi calistiracak ama cocugun okul taksidini , faturalari oderken zorlanacagim. neymis kutsal meslekmis hassiktirin o zaman ekmegi bana ucuz sat.
  "
53,"
    4 bin avrodan aşağı bir maaşa yurtdışında ihtiyaç duyulan herhangi bir uzmanın burada çalışması büyük iş. 4 bin avro kaç lira yapıyor bilemiyorum ama almanya'da 3.500 4000 arası kazanır uzmanlar ilk sene sonunda bir de oradaki hayat, hukuk vs var üzerine. nasıl ki iyi topçuyu buraya getirmek için parayı basmak lazım doktorları tutmak için de aynı şey verekli.
  "
54,"
    (bkz: güle güle)
  "
55,"
    tıp eğitimi maliyetlerini amerika ile karşılaştıran zeki yazarlarımızı, amerika'da muayene olmak ve tedavi almak için ödenen ücretleri ve doktor maaşlarını da konuşurlarsa sevinirim. kaldı ki bahsi geçen paraların içinde barınma beslenme vb gibi bizde ağırlıklı olarak öğrencilerin kendileri tarafından karşılanan harcamalarda var. tıp fakülteleri ücretli olsun derseniz her muayenenize binlerce lira para harcamayı göze alıyorsunuz demektir, uyaralım. zira şu anki maaşlar ile doktorların bırakın bir milyon doları, bir milyon lira krediyi ödemesi bile ömrünü alır.
  "
56,"
    (bkz: tabipler gocu)
  "
57,"
    devlet okuttu demek hiç bir bahane bulamadım bunu uydurdum demekten farksız.devlet üniversitesi kadar özel üniversite var şu anda onu geçelim devlet üniversitesinde inşaat mühendisliği okuyana devlet okuttu seni iki bina yap devlete demiyor isen doktora da diyemezsin. ya da baştan anlasirsin karşılıksız yurt verirsin, burs verirsin, harç marc almazsın ama karşılığında 5 sene 7 sene mecburi hizmet dersin. tıp öğrencisi ile başka bir bölüm öğrencisi arasında en ufak fark yok şu an pratikte.amerigada tıp eğitimi bilmem kaç dolarcilar var bir de, ulan orada uzman doktor o size servet görünen eğitim ücretini 1 yılda kazanıyor hesabı ona göre yapin bi zahmet. türkiye de tıp eğitimi ücreti de ahım şahım değil çünkü o eğitimin yurtdışında pahalı olma sebebi eğitimi veren doktorların çok kazanması, türkiye'de üç kuruşa çalıştırılıyor hocalar zaten mesele bu ... kadavranin k sini görmeden mezun oluyor tıp mezunlarının çoğu... sorunlar varsa sorunlar çözülsün demek yerine doktorların sırtına binelim, maaş istemesin, şikayet etmesin, kapısına yığılan her hastaya bakmak zorunda kalsin. bunun gerçekten işe yarayacağını düşünen salaktir...
  "
58,"
    bildigim tum doktor arkadaslarim ,tanidiklarim gitti, gidiyor, gitmek uzere, hem de en bilgili en deneyimlileri, kaybeden turkiye halki oluyor, turkiye halki cozecek bu isi cozecekse
  "
59,"
    acı olan yanı neden gidiyorsunuz diyememek. kollarımızı açıp gitme diyemedik
"
60,"
    savunanlar için soruyorum aynı devlet özelde asgari ücrete çalışan sekreteri , hemşireyi pratisyen hekimle aynı maaşa devlette neden çalıştırıyor?amerika örneğinin saçmalığına da hiç girmeyeceğim .edit : anlamayanlar için mecburen açıklayayım. amerika dediğiniz ülke kapitalist bir sistemde yönetiliyor.orada hiç bir bölümü parasız okuyamıyorsunuz.türkiyede devlet ünisinde okuyup devlete kalifiye hizmet veren tek meslek hekimlik. var mı başka böyle hem pratisyenlikte hem uzmanlıkta hem yandalda düşük ücrete mecburisi olan ? kaldı ki amerikada paran olmayınca da doktor seni bedava muayene etmiyor.türkiyedeki gibi günde 100 hasta da bakmıyor .10-12 hasta maksimum. yani bakarsan amerikadaki doktorun 1 yılda baktığı hastayı türk hekim ( 36 saat nöbetleri vs saymıyorum) 1-1.5 ayda bakıyor. bunların parası ne peki sekreterden hallice . amerikadaki doktora 12 hastayla verilen ücret türkiyede 36 saat nöbetleri 100 hastayı geçen sayılarıyla türk doktora ödenmiyor.yani hesaba girerseniz türk doktorun bayaaaa alacağı var..
  "
61,"
    ne mal insanlar var ya gerçekten çok bile beklemişsiniz . yok paraya tapıyorlarmış yok vatan hainiymiş, ne kadar beyinsiz insan var. şu profile için yeminlerinizden vazgeçebilirsiniz bence hipokrat anlayışla karşılar.
  "
62,"
    türkiye'nin en önemli gündem maddelerinden olması gereken durum. doktorlar sağlık çalışanı değil, sağlığınızın kendisidir. hakları ve güvenlikleri sağlanmalı, çalışma şartları iyileştirilmelidir. bunlara ek olarak hakettikleri düzeyde bir maaş düzenlemesi yapılmalıdır. en önemli şeyiniz olan sağlığınızı teslim ettiğiniz doktorlar, faturaları, kredi taksitlerini, kirasını, çocuğunun masraflarını düşünmemelidir. sanki para kazanmak ayıpmış gibi doktorlar toplumsal baskıdan sesini çıkaramıyor. para önemli bir motivasyondur ve yaşam koşullarınızı iyileştirir. ancak bu tek başına yeterli değildir. doktor acaba başıma bir şey gelecek mi diye endişelenmeyecek, 36 saate varan sürelerde nöbetle enerjisi ve verimi düşürülmeyecek. 5 dakikada bir hasta bakmayacak. sistematik mobbinge maruz kalmayacak. bunlardan en hızlı ve kolay şekilde yapılabilecek olanı maaştır ve hemen iyileştirilmelidir. toplum aleyhine gibi görülse de 5 dakikada 1 değil 20 dakikada(mesela) 1 hastayla ilgilenmeli, makul düzeyde nöbet tutmalıdır. gerekirse görülmemiş şekilde olağanüstü güvenlik önlemleriyle doktora şiddet gerçeği dikkatleri çekerek kırılmalı, hekime güven verilmelidir. algı önemlidir, türk milleti gücü sever. devlet gücünün hem fiiliyatta hem de yasal zeminde doktorların arkasında olması, onları iyi hissettireceği gibi şiddet potansiyeli taşıyanları pıstırır. başkası şiddet uyguluyor, ben de uygularım hiç bir şey olmaz diyemez, itaat eder. bu tipler güçten ve gövde gösterisinden anlarlar.bu haklar bugün sağlanmazsa, siz de doktorlara sahip çıkmazsanız, yakın gelecekte sizi hemşirelikten hekimliğe intibak edecekler tedavi eder, damar yolunuzu hademe açar. iki hafta sonraya randevu bulmaya burun kıvırırsınız ama hiç randevu bulamazsınız. özellikle cerrahi branşlardaki mobbing de eklenince sizi ameliyat edecek hiç kimse kalmaz. doktorların maaşını dilinize pelesenk edersiniz ama yarın 3 kuruş maaşınızla özel hastene kapılarında sıra oluşturmak durumunda kalırsınız ya da sağlığınızı kaybedersiniz.neticeten doktorun aleyhine olan şey sizin aleyhinizedir. doktorlar sağlık çalışanı değil, sağlığınızın kendisidir.
  "
63,"
    gittiler, gidiyorlar ve gidecekler.ve siz bunun icin hicbirsey yapamayacaksiniz. bir gün isiniz düstügünde anlayacaksiniz ki, o doktorun 5 dakikasina muhtacsiniz. daha önceden göc etmis olan bizlere de faydasi, artik yabancilik cekmiyoruz.
  "
64,"
    hem doktorları cahile meze et hem de 20 yıl zorunlu hizmet iste.köle mi lan bu insanlar.doktora şiddet gösterenleri devlet cezalandırmıyorsa siz gerekeni yapın ki gitmesin.şu cami imamı cahil piçi dinlene dinlene dövmek isterdim mesela. şu ""devlet okutuyor"" argümanına da hayranım ha... lan o kadar kolaysa sen okusaydın bre aqduğum. t: bu imkanlarda kaçınılmaz olandır.
  "
65,"
    şimdi ortada güvenliklerini sağlamaya dair bir çalışma olduğunu gösteren bir hareket yok. bu arada gelişen mesleki duyarlılıga karşı iktidar tabanı tarafından çözüm talebinden ziyade alerjik tepki veriliyor. bunun sonucunda bu insanlar istifa ediyor. iktidar tabanı tarafından bir meslek grubunun seçeneksizlikten çözümsüzlükten can tehlikesinden dolayı istifası vatan hainliğine çekiliyor. bu da istifaları artarak artan bir grafige eviriyor. bu akışkan okuyacağım sonraki hamle ya bu insanların vizeleri pasaportları iptal edilir istifaları reddedilir. kararname falan çıkar. her istediklerini yaparken sürekli rest çekip iktidarın verdiği güçle restlerini başarıya ulaştırmış olabilirler. ama yani doktor yetiştirip piyasaya sürüp rest çekmek bu iş öyle bugünden yarına çözebilecekleri iş değil. dolayısıyla bence agresifleşebilirler kaçan kaçar kalan sağlar bizim diye çıkış yollarını kapatabilirler gibi geliyor. tabi bu benim fikrim
  "
66,"
    doktor nefretinizle ha gayret james webb'in yanina yaklasacaksiniz. pratisyenleri begenmeyeni mi ararsin, bitmeyen parasiz okuyorsunuz muhabbetine mi bayilirsin. duvarlara spreyle bel fitigi ve tel numarasi birakanlara muhtac oluyoruz korkusu hic yok. zaten hepiniz doktorsunuz, ne gerek var hekimlerin gocunu dert etmenize? aynisi kayninizda da olmuyor mu? ver narkozu...
  "
67,"
#90851240
"
68,"
    ortamı bu hale getiren zihniyete laf etmiyor adam -bi tarafı da yemez zaten etmeye- onun yerine bunalıp giden doktora aklı sıra çemkiriyor. hayır herkes düşüncesini ifade etsin tamam da yazık yani dünya görüşü bu derece sınırlı bireylerle ne olacak bu milletin hali. şu durumda bile yanlışın kaynağını anlamayan, kök nedeni sorgulamayan salaklıkla nasıl idame ettireceksiniz bu hayatı. acıdım gerçekten.
  "
69,"
    çalıştığı şehirde isim yapmış, gerçekten çok başarılı bir kadın doğum uzmanı arkadaşım geçen ay isveç'e yerleşti. ben de tıp okumak için gidiyorum bu ülkeden. geri dönmemek umuduyla. hekimler göçü sonrası ülke ne kaybettiğini anladığında iş işten geçmiş olacak.
  "
70,"
    türkiye'de yaşanan cehaletin kutsanması ve cahiller göçü sebebiyle meydana gelen göçtür. tüm medeniyetler yükselen cehalet ve cahil göçleriyle yıkılmıştır. cehalet medeniyetin ve insanlığın düşmanıdır.
  "
71,"
    sağlıkta şiddet mağduru oldukları halde, hala daha anaları bacıları ile tehdit edilmekte olan insanların göçü. eğitilemezsiniz yeminle!
  "
72,"
    bıkmadınız amerika muhabbetinden. amerikadaki doktorların maaşlarını yazmazlar ama eğitim masrafını yazarlar. istiyorlar ki okumak için amerika kadar para verilsin ama çalışmaya gelince afrikanın en gelişmemiş ülkesinden bile az maaş alsın doktor. normaldir olağandır. pandemide istifa yasağı getirip hakkınızı ödeyemeyiz diyip o emeklerinin karşılığını bile vermediler insanlara. balkondan alkışladığı ile kaldılar. okumamışla ömrünce dirsek çürütmüş insanı eşit maaşla üzerine de ölüm korkusuyla hakkı verilmeyen mesai ücretleriyle toplumdaki düşmanlıkla çalıştırmaktan gocunmadılar. ne bekliyorsunuz? kölelik kalkalı 100 sene oldu. bu şartlara kuzey korede bile çalışacak doktor bulamazsın eminim orada en azından doktora dokunanı idam ediyorlardır.
  "
73,"
    giderlerse gitsinler ezanla tedavi yontemleri uzerine daha bile gelismemizi saglar
  "
74,"
    türk insanının kendine ait ilkeli bir fikri olmadığını, sadece işine geleni konuştuğunu gösteren başlık.en liberaliniz bile komünist kesiliyor. siz muayene değil muamele istiyorsunuz.
  "
75,"
    bilim ve sanat itibar görmediği toplumları terkeder. ibn-i sina.
  "
76,"
    tanım : son zamanlarda hızlanan hadise. meslektaşlarıma sesleniyorum.kendinizi ifade etmeyin! gidiyorsanız gidin! sessizce gidin. biz gidersek şöyle olur, böyle olur demeyin. zaten üzerinizdeki nefreti daha fazla büyütmeyin. yangına körükle gitmeyin. genel kanıyı ben şu şekilde gördüm: insanlar sizi sevmiyor. okumuş, yetişmiş insanı sevmiyor.saygı duymuyor. çok biliyor. tanıları, tedavileri çok gereksizce, hadisizce fazlaca sorguluyor.youtubedan video izleyip ameliyat yapmayı öğrendi, googledan haber okuyup dahiliye uzmanı oldu sanıyor. taciz ediyor. sözlü şiddet uyguluyor. fiziksel şiddet uyguluyor. resmi belgelere öldüreceğim yazıyor (cimer). resmi hattı arayıp öldürürüm diyor (sabim). işlem yapılmıyor. ama bazı doktorlar da ... diyor. neyse gidiyorsanız gidin. ülkenin göreceği zarar zamanla anlaşılır.
  "
77,"
    puahhaha beyinsiz ya doktorluk para için yapılmaz diyor bir de.ne için yapılır beyinsiz kardeşim.o zaman yiyecekte çok önemli marketler bedava olsun yemek yemeyelim de ölelim mi?
  "
78,"
    beyaz yakalı göçünün sadece görünen ve kendini gerçekleştiremeyen insanların gözüne batan kısmıdır…içinde bulunduğum zümredir ve geçerli sebepleri vardır hak veriyorum, sahi hangi dile çalışıyoruz ?ağustos 22 edit: oet bitti şimdilik
  "
79,"
    gidiyorsanız gidin de niye bunu organize bir sekilde yapma cabasindasiniz anlamiyorum. senelerdir doktorlardan kat kat fazla muhendis gidiyor yurtdisina ama yerleri bir sekilde doluyor. hekim de bitmez bu memlekette merak etmeyin. sanki boyle gitmeyeceksin aslinda ama karsindakine istedigini yaptirmak icin ""bak giderim ha"" der gibi beyanlarda bulunuyorsunuz komik oluyor. gidin gidebiliyorsaniz bakim o olmayan yabanci dilinizle.
  "
80,"
    üniversite ve sağlık kurumlarının özelleştirilmesiyle çözülebilecek sorun.sağlık için özel sigortalar bu sağlık kurumlarıyla anlaşma yapar. poliçeye göre belli kısımlarını karşılar. kalanını ve sigorta ücretini kişi kendisi öder. devlet bunun için halktan vergi ve prim toplamaz. maaş ve masraf ödemez. gss yerine bu özel sigortalardan birinin asgari poliçesine sahip olmayı zorunlu tutar (çünkü halkımız çok zekidir…) ve denetimini yapar.doktorlar da piyasaları neyse ona göre maaş alır ve çalışma şartlarına sahip olur. eğitiminin parası da halktan çıkmamış olur. kendi parasıyla okuyup isterse yurtdışına gider çalışmaya.
  "
81,"
    tıp, sanırım yalnızca ülkemizde üst mertebe bir meslek kabul ediliyor. bu kabul, ne yazık ki en çalışkan/en kapasiteli gençleri istemsiz bir şekilde tıbba tıkıyor. oysa tıp, başta gönüllülük ve özgecilik isteyen bir meslek. aynı masörlük gibi; sırf parası iyi diye herkes eğitimini alabilir ama iyi ve faydalı masörlük yapamaz. tıp da son 50 yıldır böyle ülkemizde. doktorlar dahi kendileri ve aileleri söz konusu olduğunda herhangi önemli bir teşhis için 2-3 ayrı hekim ile görüşüyorlar. bu görüşme, bir istişare kültüründen kaynaklı değil, tamamen sistemin çalışmazlığı ve güvensizliğinden kaynaklı. çünkü sırf puanı yüzünden isteksiz tıp okutulan günümüz hekimlerinin çoğu meraksız, gönülsüz, düz mantık moduna giriyor ve özgeci analitik düşünce iptal oluyor. şahsen bu kısırdöngünün malum gündem ve göçler nedeniyle yıklımasından yanayım çünkü son 50 yıldır ülkemizdeki hekimlerin çoğu istemeden tıp okumuş kişiler. bu gerçek, ne yazık ki işlevsiz, faydasız ve güvensiz bir sağlık sistemi yaratmış. halkın en cahili bile semptomatik tedavi ve cerrahi müdahaleler dışında tatminkar şifa ya da güven duyamıyor. doktorlara olan tahammülsüzlük ve şiddetin nedenlerinden biri bu da olabilir inanın. uzatmayayım başa döneyim, olayın kaynağı nedir: gerçekten ülküsüzce, isteksizce tıp seçtirilmesi ve okutulmasıdır. bu mesleğin popülaritesi (amerika, avrupa vs. gibi) bir nebze azalınca belki gerçekten gönüllü, istekli ve özgeci hekimler kültürü var edilebilir. yöneticiler ve halk işte o zaman, şifa ve ilgiye doyunca eskisi gibi hekimin elini ayağını öpmeye yeninden başlayacaktır. tıpkı rahatlamayı iliklerine kadar hisseden bir kişinin masörüne olan şükranlığı gibi.not: yurt dışına giden hekimlere sual; yurt dışında türkiye'deki kadar rütbeli hissediyor musunuz?
  "
82,"
    rütbe takıntılı arkadaşlardan rütbe bazlı özgeci bir yorum gelmiş. tersine beyin göçünü her meslek grubunda durdurmaya çalışmadıkça felsefi iyi niyet mastürbasyonlarına mahkum kalacağız gibi gözüküyor
  "
83,"
    devlet vatandaşının önce can güvenliğini sağlamakla yükümlüdür. yukarıda dövlötön ömkönlöröylö ököyöp köçüyörlör gibi sığ düşüncelerle içindeki yetersizlik duygusunu açık eden cengaver arkadaşlar, devletin imkanları herkes için, madem öyle buyrun siz de okuyun o imkanlarla. bi 10 yıl dayanıp başarılı olabilirseniz de yoksulluk sınırındaki maaşınız ve alamadığınız primleriniz karşılığında tedavi ettiğiniz hıyarın biri gelsin sizi vursun. öyle konuşalım. bu göç yüzünden ülkenin düşeceği durum için üzülüyorum. sadece doktorlar değil eğitimli insanlar gidiyor. medeni bir şekilde iletişim kurabileceğimiz insanlar, hakkımızı koruyabileceğimiz koşullar her geçen gün daha da azalıyor. ülkeyi ayağa kaldıracak insanlar ne yazık ki gidiyorlar. önümüzdeki 5-10 yıl izleyin avrupa sağlık sektöründe ne kadar ileri gidecek. katlanarak artan bir çöküşün içindeyiz hep beraber, ülkenin üzerine dev bir cehalet ordusu üçer beşer çoğalarak geliyor ve ben toparlayabileceğimizden de hiç umutlu değilim. gidenler umarım yeni hayatlarında güvende ve mutlu olurlar. ben vatandaş olarak hakkımı helal ediyorum, zırıldayan dümbükler çölden yeni atanmış doktor mohammadlara derdinizi anlatırsınız artık.edit: anlatım bozukluğu
  "
84,"
    yaz kızım oraya bir +1 daha, uzun uzun anlatamam(kısa hali bu) bu primat sürüsüne, doktorluğun para için yapılmayacağını söyleyen mi dersin, eee beynini siktiğim bu adam kira öderken, ev alırken, marketten alışveriş yaparken karşıdaki adama hangi argümanla konuşacak, illa karşılığında bir şey verecek; altın, gümüş, domates, tuz her ne değer edecek şeyse, ya da sizler gibi götünü verecek karşılığında ki yine o da bir değere giriyor, yani en azından öyledir! demi. diğer bir kazma da kürek mahkumluğu gibi 20 yıl ölüm korkusu altında da olsa, geçinemezse de yine de sike sike çalışacak demiş, eee beynini siktiğim sen bu devirde asgari insani şartlarda çalışacak adam mı arıyorsun, yoksa neredeyse bedavaya sikeceğin köle mi, dikkatini çekerim teorik olarak dünyada kölelik yasak, böyle bir şey yapmaya kalkarsan da bir gün o köle seni yatağında sikebilir benden sana söylemesi, bakarsın ava giderken av olmuşsun. bir diğer göt kılı ne bu tatava altı üstü 4-5 matematik daha fazla yapıyor diye bu tantana neyin nesi demiş, haaa işte embesilin önde gideni o neti sen daha fazla yapmış olsaydın, şu an sen doktor, o küçümsediğin zeki adam da senin yaptığın işi yapmak zorunda kalırdı, üniversiteye yerleşim puan değil sıralama meselesi, kabataslak milleti aküsüne - ıq :) - göre sıralıyorlar, geri zekalılar, normaller, zekiler, dahiler. aynı mantıkla senden 10 net daha az yapan da en az senin kadar zeki ki, bu yorumu yaptığına göre 0 neti olan ile senin aranda altı üstü 30-40 soru var, ikiniz de aynı beyin seviyesine (zeka demeyeceğim :)) hmmhmmm) sahipsiniz, vs. vs... yazarken bile içim şişti, kısaca cehaletinizde boğulun.
  "
